Date,SPY Put/Call Ratio,SPY Put Volume,SPY Call Volume,Total SPY Options Volume
2/25/13,2.18,647909,297667,945576
2/26/13,1.79,689355,385358,1074713
2/27/13,1.8,609062,339237,948299
2/28/13,1.84,466910,254246,721156
3/1/13,1.99,559167,280745,839912
3/4/13,2.19,515620,235395,751015
3/5/13,1.29,793697,617249,1410946
3/6/13,1.23,462890,376957,839847
3/7/13,1.42,428378,301332,729710
3/8/13,1.35,567653,421484,989137
3/11/13,1.42,507572,357876,865448
3/12/13,1.38,664721,480605,1145326
3/13/13,1.15,397383,346186,743569
3/14/13,1.09,545989,499958,1045947
3/15/13,1.92,572256,297706,869962
3/18/13,1.64,389644,237130,626774
3/19/13,1.97,556288,282647,838935
3/20/13,1.83,602303,329469,931772
3/21/13,1.63,524743,321425,846168
3/22/13,1.96,441725,225696,667421
3/25/13,2.3,455940,198476,654416
3/26/13,1.54,354998,230369,585367
3/27/13,1.24,303568,244873,548441
3/28/13,1.5,488275,325759,814034
4/1/13,1.27,241378,189388,430766
4/2/13,1.29,381275,294652,675927
4/3/13,1.38,513230,371722,884952
4/4/13,1.43,375268,262098,637366
4/5/13,1.29,497606,387107,884713
4/8/13,1.09,250579,230812,481391
4/9/13,1.11,371366,335356,706722
4/10/13,1.01,609307,601305,1210612
4/11/13,1.08,614517,569942,1184459
4/12/13,1.41,539069,381121,920190
4/15/13,1.9,716556,376410,1092966
4/16/13,1.31,382713,291257,673970
4/17/13,2.02,871324,431156,1302480
4/18/13,1.43,792472,553424,1345896
4/19/13,1.54,483447,314527,797974
4/22/13,1.73,353209,204424,557633
4/23/13,1.29,468528,362758,831286
4/24/13,1.3,352935,270831,623766
4/25/13,1.44,361735,251545,613280
4/26/13,1.54,416497,271235,687732
4/29/13,1.68,317232,189288,506520
4/30/13,1.66,304982,183399,488381
5/1/13,1.56,414478,266133,680611
5/2/13,1.68,514025,306464,820489
5/3/13,1.01,745784,739387,1485171
5/6/13,1.04,400965,386298,787263
5/7/13,1.16,478332,411634,889966
5/8/13,1.06,525297,495794,1021091
5/9/13,1.27,579500,457623,1037123
5/10/13,1.62,526026,325387,851413
5/13/13,1.25,349061,279449,628510
5/14/13,1.07,747338,696834,1444172
5/15/13,0.86,623485,723228,1346713
5/16/13,1.55,645654,415677,1061331
5/17/13,1.43,608728,425817,1034545
5/20/13,1.46,416825,284903,701728
5/21/13,1.63,493460,302107,795567
5/22/13,1.33,825720,621603,1447323
